original,fixed
C+//0A7//9AL///QC9- MAU,Ca Mau
C+//0A7//9AL///QC9- Mau,Ca Mau
+//0Awv/9AKA-C+//0Aw//9AKA- Mau,Ca Mau
+//0Awv/9AKA-C+//0Aw//9AIA- MAU,Ca Mau
+//0A7//9AL///QC9-C+//0A7//9AL///QC9- Mau,Ca Mau
+//0A7//9AL///QC9-C+//0A7//9AL///QC9- MAU,Ca Mau
 C+ADw-U+1ED//QA+-N THO,Can Tho
 C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
C+ADw-U+1ED//QA+-N THO,Can Tho
C+ADw-U+1ED//QA+-n Tho,Can Tho
C+Hqc-n Th+AaE-,Can Tho
C+//0A4f/9ALr//QCn-n Th+//0Axv/9AKE-,Can Tho
C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
TP Can Tho,Can Tho
+//0Awv/9AKA-C+//0A4f/9ALr//QCn-n Th+//0Axv/9AKE-,Can Tho
+//0Awv/9AKA-C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
+//0A7//9AL///QC9-C+ADw-U+1ED//QA+-N THO,Can Tho
+//0A7//9AL///QC9-C+ADw-U+1ED//QA+-n Tho,Can Tho
 CAO B+ADw-U+1ED//QA+-NG,Cao Bang
 CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
CAO B+ADw-U+1ED//QA+-NG,Cao Bang
Cao B+ADw-U+1ED//QA+-ng,Cao Bang
Cao B+HrE-ng,Cao Bang
CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
Cao B+//0A4f/9ALr//QCx-ng,Cao Bang
+//0Awv/9AKA-CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
+//0Awv/9AKA-Cao B+//0A4f/9ALr//QCx-ng,Cao Bang
+//0A7//9AL///QC9-CAO B+ADw-U+1ED//QA+-NG,Cao Bang
+//0A7//9AL///QC9-Cao B+ADw-U+1ED//QA+-ng,Cao Bang
 +//0AxP/9AJD//QDD//0AgA- N+//0A4f/9ALr//QC0-NG,Da Nang
 +//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+ARAA4A- N+HrU-ng,Da Nang
TP Da Nang,Da Nang
+//0Awv/9AKD//QDE//0AkP/9AMP//QCg- N+//0A4f/9ALr//QC1-ng,Da Nang
+//0Awv/9AKD//QDE//0AkP/9AMP//QCA- N+//0A4f/9ALr//QC0-NG,Da Nang
+//0AxP/9AJD//QDD//0AoA- N+//0A4f/9ALr//QC1-ng,Da Nang
+//0AxP/9AJD//QDD//0AgA- N+//0A4f/9ALr//QC0-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-ng,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-ng,Da Nang
 +//0AxP/9AJD//QDh//0Auv/9AK4-K L+//0A4f/9ALr//QCu-K,Dak Lak
 +//0A7//9AL///QC9ADw-U+1ED//QA+-K L+ADw-U+1ED//QA+-K,Dak Lak
Dac Lak,Dak Lak
+ARAerw-c L+Hq8-k,Dak Lak
+ARA-ak Lak,Dak Lak
+ARABAw-k L+AQM-k,Dak Lak
+//0Awv/9AKD//QDE//0AkP/9AMT//QCC-K L+//0AxP/9AII-K,Dak Lak
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arw-k L+//0A4f/9ALr//QCv-k,Dak Lak
+//0AxP/9AJD//QDE//0Agg-K L+//0AxP/9AII-K,Dak Lak
+//0AxP/9AJD//QDh//0Auv/9AK8-k L+//0A4f/9ALr//QCv-k,Dak Lak
+//0AxP/9AJD//QDh//0Auv/9AK4-K L+//0A4f/9ALr//QCu-K,Dak Lak
+//0A7//9AL///QC9ADw-U+1ED//QA+-K L+ADw-U+1ED//QA+-K,Dak Lak
+//0A7//9AL///QC9ADw-U+1ED//QA+-k L+ADw-U+1ED//QA+-k,Dak Lak
+//0A7//9AL///QC9-AK LAK,Dak Lak
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-k L+ADw-U+1ED//QA+-k,Dak Lak
+//0A7//9AL///QC9//0A7//9AL///QC9-AK LAK,Dak Lak
 +//0AxP/9AJD//QDh//0Auv/9AK4-K N+//0Aw//9AJQ-NG,Dak Nong
 +//0A7//9AL///QC9ADw-U+1ED//QA+-K N+//0A7//9AL///QC9-NG,Dak Nong
+ARA-ak N+APQ-ng,Dak Nong
+ARABAw-k N+APQ-ng,Dak Nong
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arw-k N+//0Aw//9ALQ-ng,Dak Nong
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arg-C N+//0Aw//9AJQ-NG,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK8-k N+//0Aw//9ALQ-ng,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK4-C N+//0Aw//9AJQ-NG,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK4-K N+//0Aw//9AJQ-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-C N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-K N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-k N+//0A7//9AL///QC9-ng,Dak Nong
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-C N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-k N+//0A7//9AL///QC9-ng,Dak Nong
+ARA-i+Hsc-n Bi+AOo-n,Dien Bien
+//0Awv/9AKD//QDE//0AkA-i+//0A4f/9ALv//QCH-n Bi+//0Aw//9AKo-n,Dien Bien
+//0Awv/9AKD//QDE//0AkA-I+//0A4f/9ALv//QCG-N BI+//0Aw//9AIo-N,Dien Bien
+//0AxP/9AJA-i+//0A4f/9ALv//QCH-n Bi+//0Aw//9AKo-n,Dien Bien
+//0AxP/9AJA-I+//0A4f/9ALv//QCG-N BI+//0Aw//9AIo-N,Dien Bien
+//0A7//9AL///QC9-I+ADw-U+1ED//QA+-N BI+//0A7//9AL///QC9-N,Dien Bien
+//0A7//9AL///QC9-i+ADw-U+1ED//QA+-n Bi+//0A7//9AL///QC9-n,Dien Bien
+//0A7//9AL///QC9//0A7//9AL///QC9-I+ADw-U+1ED//QA+-N BI+//0A7//9AL///QC9-N,Dien Bien
+//0A7//9AL///QC9//0A7//9AL///QC9-i+ADw-U+1ED//QA+-n Bi+//0A7//9AL///QC9-n,Dien Bien
 +//0AxP/9AJD//QDh//0Au//9AJI-NG NAI,Dong Nai
 +//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+ARAe0w-ng Nai,Dong Nai
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akw-ng Nai,Dong Nai
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akg-NG NAI,Dong Nai
+//0AxP/9AJD//QDh//0Au//9AJM-ng Nai,Dong Nai
+//0AxP/9AJD//QDh//0Au//9AJI-NG NAI,Dong Nai
+//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+//0A7//9AL///QC9ADw-U+1ED//QA+-ng Nai,Dong Nai
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-ng Nai,Dong Nai
 +//0AxP/9AJD//QDh//0Au//9AJI-NG TH+//0Aw//9AIE-P,Dong Thap
 +//0A7//9AL///QC9ADw-U+1ED//QA+-NG TH+//0A7//9AL///QC9-P,Dong Thap
+ARAe0w-ng Th+AOE-p,Dong Thap
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akw-ng Th+//0Aw//9AKE-p,Dong Thap
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akg-NG TH+//0Aw//9AIE-P,Dong Thap
+//0AxP/9AJD//QDh//0Au//9AJM-ng Th+//0Aw//9AKE-p,Dong Thap
+//0AxP/9AJD//QDh//0Au//9AJI-NG TH+//0Aw//9AIE-P,Dong Thap
+//0A7//9AL///QC9ADw-U+1ED//QA+-NG TH+//0A7//9AL///QC9-P,Dong Thap
+//0A7//9AL///QC9ADw-U+1ED//QA+-ng Th+//0A7//9AL///QC9-p,Dong Thap
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-NG TH+//0A7//9AL///QC9-P,Dong Thap
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-ng Th+//0A7//9AL///QC9-p,Dong Thap
 GIA LAI,Gia Lai
GIA LAI,Gia Lai
Gia Lai,Gia Lai
Gia Lai,Gia Lai
GIA LAI,Gia Lai
+//0Awv/9AKA-Gia Lai,Gia Lai
+//0Awv/9AKA-GIA LAI,Gia Lai
+//0A7//9AL///QC9-Gia Lai,Gia Lai
+//0A7//9AL///QC9-GIA LAI,Gia Lai
H+//0Aw//9AKA- B+//0A4f/9ALr//QCv-c,Ha Bac
H+//0Aw//9AKA- B+//0A4f/9ALr//QCv-c (c+//0Axf/9AKk-),Ha Bac
 H+//0Aw//9AIA- GIANG,Ha Giang
 H+//0A7//9AL///QC9- GIANG,Ha Giang
H+AOA- Giang,Ha Giang
H+//0Aw//9AKA- Giang,Ha Giang
H+//0Aw//9AIA- GIANG,Ha Giang
H+//0A7//9AL///QC9- GIANG,Ha Giang
H+//0A7//9AL///QC9- Giang,Ha Giang
+//0Awv/9AKA-H+//0Aw//9AKA- Giang,Ha Giang
+//0Awv/9AKA-H+//0Aw//9AIA- GIANG,Ha Giang
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- Giang,Ha Giang
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- GIANG,Ha Giang
 H+//0Aw//9AIA- NAM,Ha Nam
 H+//0A7//9AL///QC9- NAM,Ha Nam
H NAM,Ha Nam
H+AOA- Nam,Ha Nam
H+//0Aw//9AKA- Nam,Ha Nam
H+//0Aw//9AIA- NAM,Ha Nam
H+//0Aw//9AID//QDC//0AoA-NAM,Ha Nam
H+//0A7//9AL///QC9- NAM,Ha Nam
H+//0A7//9AL///QC9- Nam,Ha Nam
+//0Awv/9AKA-H+//0Aw//9AKA- Nam,Ha Nam
+//0Awv/9AKA-H+//0Aw//9AIA- NAM,Ha Nam
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- Nam,Ha Nam
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- NAM,Ha Nam
 H+//0Aw//9AIA- N+//0A4f/9ALv//QCY-I,Ha Noi
 H+//0A7//9AL///QC9- N+ADw-U+1ED//QA+-I,Ha Noi
H+AOA- N+Htk-i,Ha Noi
H+//0Aw//9AKA- N+//0A4f/9ALv//QCZ-i,Ha Noi
H+//0Aw//9AIA- N+//0A4f/9ALv//QCY-I,Ha Noi
H+//0A7//9AL///QC9- N+ADw-U+1ED//QA+-I,Ha Noi
H+//0A7//9AL///QC9- N+ADw-U+1ED//QA+-i,Ha Noi
TP Ha Noi,Ha Noi
+//0Awv/9AKA-H+//0Aw//9AKA- N+//0A4f/9ALv//QCZ-i,Ha Noi
+//0Awv/9AKA-H+//0Aw//9AIA- N+//0A4f/9ALv//QCY-I,Ha Noi
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- N+ADw-U+1ED//QA+-I,Ha Noi
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- N+ADw-U+1ED//QA+-i,Ha Noi
H+//0Aw//9AKA- T+//0Aw//9AKI-y,Ha Tay
H+//0Aw//9AIA- T+//0Aw//9AII-Y,Ha Tay
H+//0A7//9AL///QC9- T+//0A7//9AL///QC9-Y,Ha Tay
+//0Awv/9AKA-H+//0Aw//9AKA- T+//0Aw//9AKI-y,Ha Tay
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- T+//0A7//9AL///QC9-y,Ha Tay
 H+//0Aw//9AIA- T+//0AxP/9AKg-NH,Ha Tinh
 H+//0A7//9AL///QC9- TINH,Ha Tinh
H+AOA- T+ASk-nh,Ha Tinh
H+//0Aw//9AKA- T+//0AxP/9AKk-nh,Ha Tinh
H+//0Aw//9AIA- T+//0AxP/9AKg-NH,Ha Tinh
H+//0A7//9AL///QC9- TINH,Ha Tinh
H+//0A7//9AL///QC9- Tinh,Ha Tinh
+//0Awv/9AKA-H+//0Aw//9AKA- T+//0AxP/9AKk-nh,Ha Tinh
+//0Awv/9AKA-H+//0Aw//9AIA- T+//0AxP/9AKg-NH,Ha Tinh
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- Tinh,Ha Tinh
+//0A7//9AL///QC9-H+//0A7//9AL///QC9- TINH,Ha Tinh
 H+ADw-U+1ED//QA+-I DUONG,Hai Duong
 H+//0A4f/9ALr//QCi-I D+//0Axv/9AK///QDG//0AoA-NG,Hai Duong
H+ADw-U+1ED//QA+-I DUONG,Hai Duong
H+ADw-U+1ED//QA+-i Duong,Hai Duong
H+HqM-i D+AbABoQ-ng,Hai Duong
H+//0A4f/9ALr//QCi-I D+//0Axv/9AK///QDG//0AoA-NG,Hai Duong
H+//0A4f/9ALr//QCj-i D+//0Axv/9ALD//QDG//0AoQ-ng,Hai Duong
+//0Awv/9AKA-H+//0A4f/9ALr//QCi-I D+//0Axv/9AK///QDG//0AoA-NG,Hai Duong
+//0Awv/9AKA-H+//0A4f/9ALr//QCj-i D+//0Axv/9ALD//QDG//0AoQ-ng,Hai Duong
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-I DUONG,Hai Duong
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-i Duong,Hai Duong
 H+ADw-U+1ED//QA+-I PH+//0A7//9AL///QC9-NG,Hai Phong
 H+//0A4f/9ALr//QCi-I PH+//0Aw//9AJI-NG,Hai Phong
H+ADw-U+1ED//QA+-I PH+//0A7//9AL///QC9-NG,Hai Phong
H+ADw-U+1ED//QA+-i Ph+//0A7//9AL///QC9-ng,Hai Phong
H+HqM-i Ph+API-ng,Hai Phong
H+//0A4f/9ALr//QCi-I PH+//0Aw//9AJI-NG,Hai Phong
H+//0A4f/9ALr//QCj-i Ph+//0Aw//9ALI-ng,Hai Phong
TP Hai Phong,Hai Phong
+//0Awv/9AKA-H+//0A4f/9ALr//QCi-I PH+//0Aw//9AJI-NG,Hai Phong
+//0Awv/9AKA-H+//0A4f/9ALr//QCj-i Ph+//0Aw//9ALI-ng,Hai Phong
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-I PH+//0A7//9AL///QC9-NG,Hai Phong
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-i Ph+//0A7//9AL///QC9-ng,Hai Phong
H+ADw-U+1ED//QA+-U GIANG,Hau Giang
H+ADw-U+1ED//QA+-u Giang,Hau Giang
H+Hq0-u Giang,Hau Giang
H+//0A4f/9ALr//QCs-U GIANG,Hau Giang
H+//0A4f/9ALr//QCt-u Giang,Hau Giang
+//0Awv/9AKA-H+//0A4f/9ALr//QCs-U GIANG,Hau Giang
+//0Awv/9AKA-H+//0A4f/9ALr//QCt-u Giang,Hau Giang
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-U GIANG,Hau Giang
+//0A7//9AL///QC9-H+ADw-U+1ED//QA+-u Giang,Hau Giang
H+ADw-U+1ED//QA+- CH+//0A7//9AL///QC9- MINH,Ho Chi Minh City
H+ADw-U+1ED//QA+- Ch+//0A7//9AL///QC9- Minh,Ho Chi Minh City
HCMC,Ho Chi Minh City
Ho Chi Minh,Ho Chi Minh City
H+//0A4f/9ALv//QCT- Ch+//0Aw//9AK0- Minh,Ho Chi Minh City
H+//0A4f/9ALv//QCS- CH+//0Aw//9AI0- MINH,Ho Chi Minh City
TP Ho Chi Minh,Ho Chi Minh City
TP. H+ADw-U+1ED//QA+- CH+//0A7//9AL///QC9- MINH,Ho Chi Minh City
Tp. H+ADw-U+1ED//QA+- Ch+//0A7//9AL///QC9- Minh,Ho Chi Minh City
